"Aerospace Studies","1901 Las Lomas Rd. N.E.<br>Usage: Air Force ROTC<br>Constructed: 1940<br>Style: Pueblo Revival<br>ID: 159 AERO","35.087059,-106.621681",,building
"Alumni Memorial Chapel","1700 Roma Ave. N.E.<br>Usage: Chapel<br>Constructed: 1960<br>Style: Pueblo Revival<br>ID: 25 ALUMNI","35.08497,-106.624423",,building
"Alvarado Hall Dormitory","2800 Campus Blvd. N.E.<br>Usage: Residence Hall<br>Constructed: 1965<br>Style: Pueblo Revival<br>ID: 157 ALVRDO","35.084951,-106.614585",,building
Anthropology,"500 University Blvd. N.E.<br>Usage: Anthropology, Maxwell Museum of Anthropology<br>Constructed: 1937 (expansion in 1972)<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 11 ANTHO","35.085427,-106.625041",,building
"Anthropology Annex","301 Terrace St. N.E.<br>Usage: Anthropology<br>Constructed: 1937<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 12 ANTHX","35.083407,-106.624241",,building
"Anthropology Storage And PPD Training","1837 Lomas Blvd. N.E.<br>ID: 220 ANTHST","35.089249,-106.622544",,building
"Army ROTC","1832, 1834, 1836 Lomas Blvd. N<br>Constructed: 1931<br>ID: 175 ARMY","35.088868,-106.622701",,building
"Army Rotc Annex","1832, 1834, 1836 Lomas Blvd. N<br>ID: 175A","35.088688,-106.622552",,building
"Art Building","220 Yale Blvd. N.E.<br>Usage: Art<br>Constructed: 1977<br>Architect: Antoine Predock<br>Style: Pueblo Revival<br>ID: 84 ART","35.08268,-106.62131",,building
"Art Annex","1901 Central Ave. N.E.<br>Usage: Art studios<br>Constructed: 1926<br>Architect: Elson H. Norris<br>Style: Pueblo Revival<br>Designations: National Register of Historic Places<br>ID: 105 ARTX","35.081529,-106.624881",,building
Athletics,"1414 University Blvd. S.E.<br>ID: 307 ATHLET","35.065659,-106.629345",,building
"Athletics Maintenance Building","1418 University Blvd. S.E.<br>Usage: Athletic offices<br>Constructed: 1966<br>ID: 353 ATHMNT","35.06454,-106.628723",,building
Automotive,"1800 Tucker Rd. N.E.<br>Usage: Physical Plant<br>Constructed: 1968<br>ID: 216 AUTOMO","35.091298,-106.623725",,building
"Baker Memorial Building","1800 Stadium Blvd. S.E.<br>Usage: Athletic offices<br>Constructed: 1985<br>ID: 314","35.068019,-106.626457",,building
"Bandelier Hall East","401 Terrace St. N.E.<br>Usage: Geography<br>Constructed: 1930 (expansion in 1941)<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 8 BANDE","35.084299,-106.624259",,building
"Bandelier Hall West","400 University Blvd. N.E.<br>ID: 16 BANDW","35.084467,-106.624703",,building
"Barbara And Bill Richardson Pavilion","2211 Lomas Blvd. N.E.<br>Usage: UNM Hospital<br>Constructed: 2007<br>ID: 286","35.088136,-106.618811",,building
"Baseball Batting Cages","1313 University Blvd. S.E.<br>ID: 309A","35.064591,-106.632326",,building
"Baseball Press Box","1313 University Blvd. S.E.<br>ID: 309","35.064647,-106.633101",,building
"Basic Medical Sciences","2425 Camino De Salud N.E.<br>Usage: School of Medicine, Classrooms<br>Constructed: 1967<br>ID: 211 BSMB","35.089834,-106.618059",,building
"Biology Annex","200 Terrace St. N.E.<br>Usage: Biology<br>Constructed: 1948<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 19 BIOANX","35.082809,-106.623622",,building
"Biomedical Research Facility","915 Camino De Salud N.E.*<br>Usage: Health Sciences<br>Constructed: 1982<br>ID: 253 BRF","35.089822,-106.618514",,building
Bookstore,"2301 Central Ave. N.E.<br>Usage: Bookstore<br>Constructed: 1996<br>Style: Pueblo Revival<br>ID: 102","35.081352,-106.620441",,building
"Bratton Hall","1117 Stanford Dr. N.E.<br>Usage: Law School and Library<br>Constructed: 1968 (expansion in 2003)<br>Architect: Antoine Predock (expansion by Edward Mazria)<br>ID: 218 BRATTN","35.09348,-106.618475",,building
"Bureau Of Business And Economic Research Data Bank","1919 Las Lomas Rd. N.E.<br>Usage: Economic Research Data Bank<br>Constructed: 1940<br>Style: Pueblo Revival<br>ID: 168 DATA","35.087134,-106.620649",,building
"Bus Stop Shelter","1300 University Blvd. N.E.<br>ID: 272","35.095993,-106.624774",,building
"Cancer Research Facility","2301 Camino De Salud N.E.<br>Usage: Health Sciences<br>Constructed: 1997<br>ID: 229 CRF","35.089448,-106.619089",,building
"Carlisle Gymnasium","301 Yale Blvd. N.E.<br>Usage: Gymnasium<br>Constructed: 1928<br>Style: Pueblo Revival<br>Designations: National Register of Historic Places<br>ID: 4 CARL","35.083766,-106.622694",,building
"Carrie Tingley Hospital","1127 University Blvd. N.E.<br>Usage: Hospital<br>Constructed: 1959<br>ID: 270 CTHOSP","35.093524,-106.627354",,building
"CARS (Counseling, Assistance And Referral Service)","1800 Mesa Vista Rd. N.E.<br>ID: 184","35.08823,-106.623914",,building
"Casita De Milagros","1129 University Blvd. N.E.<br>Constructed: 1993<br>ID: 279","35.093942,-106.627959",,building
"Castetter Hall","219 Yale Blvd. N.E.<br>Usage: Biology<br>Constructed: 1951 (expansions in 1963, 2009, and 2011)<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>Designations: LEED Gold (2009 addition)<br>ID: 21 CAST","35.082411,-106.622944",,building
"Centennial Engineering Center","210 University Blvd. N.E.<br>Usage: School of Engineering Administration, Civil Engineering, Biomedical Engineering, Environmental Engineering, Engineering Labs<br>Constructed: 2008<br>Style: Pueblo Revival<br>ID: 112","35.083168,-106.625801",,building
"Center For The Arts","203 Cornell Dr. N.E.<br>Usage: Arts, Keller Hall, Popejoy Hall, Art Museum<br>Constructed: 1963 (expansions in 1966, 1970, and 1973)<br>Style: Pueblo Revival<br>ID: 62 CTRART","35.082726,-106.620228",,building
"Center For Wildlife Law","1401 University Blvd. N.E.<br>ID: 280 WILDLW","35.097183,-106.627376",,building
"Child Care Center","1210 University Blvd. N.E.<br>Constructed: 1991<br>Architect: Van Dorn Hooker<br>ID: 277","35.095767,-106.625941",,building
"Child Care Center","1210 University Blvd. N.E.<br>Constructed: 1991<br>Architect: Van Dorn Hooker<br>ID: 281A","35.095669,-106.625473",,building
"Child Care Center","1210 University Blvd. N.E.<br>Constructed: 1991<br>Architect: Van Dorn Hooker<br>ID: 281B","35.095176,-106.625815",,building
"Child Care Center","1210 University Blvd. N.E.<br>Constructed: 1991<br>Architect: Van Dorn Hooker<br>ID: 281C","35.095456,-106.626025",,building
"Chilled Water Plant","1927 Las Lomas Rd. N.E.<br>ID: 194","35.08732,-106.619715",,building
"Clark Hall","300 Terrace St. N.E.<br>Usage: Chemistry<br>Constructed: 1951 (expansion in 1969)<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 22 CLARK","35.083652,-106.623443",,building
"Clinical and Translational Science Center","900 Camino De Salud N.E.*<br>Usage: Health Sciences<br>Constructed: 1972<br>ID: 227 CRTC","35.089095,-106.617464",,building
"Cogeneration Plant","2601 Campus Blvd. N.E.<br>ID: 176","35.086606,-106.616268",,building
"Communication And Journalism","2101 Central Ave. N.E.<br>Usage: Communication & Journalism<br>Constructed: 1949 (renovated 2007)<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 115 COMMJ","35.081448,-106.623085",,building
"Concession Stand","1700 Avenida Cesar Chavez S.E.<br>ID: 301E","35.066798,-106.628208",,building
Concessions,"1700 Avenida Cesar Chavez S.E.<br>ID: 301T","35.06683,-106.627704",,building
Concessions,"1700 Avenida Cesar Chavez S.E.<br>ID: 301V","35.066667,-106.628232",,building
Concessions,"1700 Avenida Cesar Chavez S.E.<br>ID: 301W","35.066658,-106.628084",,building
"Consortium For Enviro. Research, Informatics and Art","302 Yale Blvd. N.E.<br>Usage: Biology, Cinematic Arts, Art Technology Center<br>Constructed: 1974 (renovated 2000)<br>ID: 83 CERIA","35.08344,-106.621659",,building
"Continuing Education","1634 University Blvd. N.E.<br>Constructed: 1969 (expansion in 1998)<br>ID: 259 CENOR","35.099932,-106.626853",,building
"Continuing Education South Wing","1634 University Blvd. N.E.<br>ID: 258 CESOU","35.09957,-106.627035",,building
"Contract Archeology and P.P.D. Warehouse","1701 Lomas Blvd. N.E.<br>Usage: Archeology<br>Constructed: 1964<br>ID: 273 CONTAR","35.090509,-106.625048",,building
"Coronado Hall Dormitory","301 Girard Blvd. N.E.<br>Usage: Residence Hall<br>Constructed: 1959<br>Style: Pueblo Revival<br>ID: 155","35.083808,-106.61459",,building
"Crystal Growth Facility","1000 University Blvd. S.E.<br>Constructed: 1986<br>ID: 331 CRYSTL","35.071267,-106.630228",,building
"Dane Smith Hall","601 Yale Blvd. N.E.<br>Usage: Classrooms<br>Constructed: 1998<br>Style: Pueblo Revival<br>ID: 48 DSH","35.086207,-106.623484",,building
"Dermatology Building","1021 Medical Arts Ave N.E.<br>ID: 420","35.090508,-106.63111",,building
"Devargas Hall Dormitory","2604 Campus Blvd. N.E.<br>Usage: Residence Hall<br>Constructed: 1969<br>ID: 75 DEVARG","35.086092,-106.616781",,building
"Diabetes Control And Complications Trial","2503 Frontier Ave. N.E.<br>Constructed: 1986<br>ID: 264 DIABET","35.089351,-106.61642",,building
"Dispute Resolution","1800 Las Lomas Rd. N.E.<br>Constructed: 1938<br>Style: Pueblo Revival<br>ID: 29 DISP","35.086476,-106.623867",,building
"Domenici Center For Health Sciences Education","1001 Stanford Ave N.E.<br>Usage: Health Sciences, Bookstore<br>Constructed: 2006 (expansion in 2009)<br>ID: 200 DOMCTR","35.090907,-106.617893",,building
"Duck Pond","ID: DP1","35.084901,-106.622197",,building
Economics,"1915 Roma Ave. N.E.<br>Usage: Economics, Sociology<br>Constructed: 1952<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 57 ECON","35.086302,-106.620791",,building
"Education Classrooms","2000e Las Lomas Rd. N.E.<br>Usage: Education<br>Constructed: 1963<br>Style: Pueblo Revival<br>ID: 67 EDUC","35.085014,-106.6198",,building
"Electrical And Computer Engineering","211 Terrace St. N.E.<br>Usage: Electrical Engineering, Computer Engineering<br>Constructed: 1986<br>ID: 46 EECE","35.083334,-106.624782",,building
"Empirical Ethics Group, HSC Department Of Psychiatry","925 Vassar Dr. N.E.<br>ID: 231 EEG","35.090795,-106.6144",,building
"Encino Plaza #09","717 Encino Place N.E.<br>ID: 440","35.088308,-106.633888",,building
"Equal Opportunity Programs","609 Buena Vista N.E.<br>Constructed: 1948<br>Style: Pueblo Revival<br>ID: 42 EOP","35.086163,-106.62432",,building
Estufa,"At S.W. Corner Of Redondo Dr.<br>Usage: Fraternity meeting room<br>Constructed: 1907<br>Style: Pueblo Revival<br>Designations: National Register of Historic Places<br>ID: 47","35.083889,-106.625892",,building
"Extended University","1800 Sigma Chi Rd NE<br>Style: Pueblo Revival<br>","35.087344,-106.624134",,building
"EMS Academy","Founded in 1972, the University of New Mexico EMS Academy is a prominent center of educational innovation and medical training.This unique institution is part of the Department of Emergency Medicine in the UNM Health Sciences Center School of Medicine. Our faculty are local, regional and national leaders in EMS and EMS education. Collectively we are involved in all aspects of prehospital care including, but not limited to, education, medical direction, direct field care, research and system development. In every class you will benefit from this breadth of expertise and experience.	<br><br>IDTC (Innovation Discovery and Training Complex), Bldg 289<br>700 Camino de Salud Albuquerque, NM 87131","35.090209,-106.619656",,building
"Family Health: University Clinic","1209 University Blvd. N.E.<br>Constructed: 1968<br>ID: 271 FAMILY","35.094557,-106.627299",,building
"Family Practice Center","2300 Tucker Rd. N.E.<br>Constructed: 1977<br>ID: 248 FPCT","35.090201,-106.618823",,building
"Farris Engineering Center","1901 Redondo Dr. South N.E.<br>Usage: Computer Science, Chemical and Nuclear Engineering<br>Constructed: 1969<br>ID: 119 FEC","35.08257,-106.625207",,building
"Fine Arts Museum","203 Cornell Dr. N.E.<br>Main Entrance (East)<br>ID: 62C","35.082726,-106.620228",,building
"Ford Utilities Center",,"35.083859,-106.625185",,building
Gazebo,"1891 Central Ave. N.E.<br>ID: 124","35.081757,-106.625362",,building
"Geology Museum","221 Yale Blvd. N.E.<br>ID: 24A","35.083105,-106.622518",,building
"George Pearl Hall","2401 Central Ave N.E.<br>Usage: Architecture & Planning, Fine Arts Library<br>Constructed: 2007<br>Architect: Antoine Predock<br>ID: 195","35.081349,-106.619076",,building
"Golf Course Maintenance","ID: 275","35.09622,-106.619709",,building
"Greenhouse Conservatory","219 Yale Blvd. N.E.<br>ID: 21A","35.082411,-106.622944",,building
"Health Sciences And Services Building","2500 Marble Ave. N.E.<br>Constructed: 1988<br>ID: 266 HSSB","35.09053,-106.617239",,building
"Health Sciences Center University Counsel","815 Vassar Dr. N.E.<br>Constructed: 1940<br>ID: 232 HSCUC","35.089262,-106.614428",,building
"Hibben Center For Archaeology Research","450 University Blvd. N.E.<br>Usage: Anthropology<br>Constructed: 2002<br>ID: 15 HIBB","35.084734,-106.625307",,building
"High Performance Computing Center (HPC) Art, Research, Technology and Science Laboratory (Arts Lab Old) (Galles Bldg)","1601 Central Ave. N.E.<br>Usage: Art, Research, Tech & Science Lab<br>Constructed: 1960<br>ID: 126","35.082217,-106.627578",,building
"Hodgin Hall","1889 Central Ave. N.E.<br>Usage: Alumni Center<br>Constructed: 1892 (remodeled in 1908 and 1932, renovated 2011)<br>Architect: E.B. Cristy (1908 remodeling)<br>Style: Pueblo Revival<br>Designations: National Register of Historic Places<br>ID: 103 HODGIN","35.081686,-106.625632",,building
"Hokona Hall (Housing)","2500 Campus Blvd. N.E.<br>Usage: Residence Hall, Education, Campus Police<br>Constructed: 1957 (residence hall section renovated in 2010)<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>ID: 58 HOKW","35.086434,-106.618394",,building
"Hospital Operations For Patients And Employees","933 Bradbury<br>ID: 345","35.071358,-106.634016",,building
"House Of Prevention Epidemiology (Hope)","1816 Sigma Chi Rd. N.E.<br>Constructed: 1953<br>Style: Pueblo Revival<br>ID: 191","35.087593,-106.623037",,building
"HSC Public Affairs","1000 Stanford Dr. N.E.<br>Usage: Health Sciences Public Affairs<br>Constructed: 1950<br>ID: 221 HSCPA","35.091081,-106.617243",,building
"Huber House","2811 Campus Blvd<br>Usage: Real Estate<br>Constructed: 1959<br>Style: Pueblo Revival<br>ID: 140","35.085335,-106.613973",,building
"Human Resources","1700 Lomas Blvd. N.E.<br>ID: 183A","35.089289,-106.62461",,building
Humanities,"400 Yale Blvd. N.E.<br>Usage: Humanities, Mathematics<br>Constructed: 1974<br>ID: 81 HUM","35.083825,-106.620936",,building
"Indoor Practice Facility","1414 University Se, Abq, Nm 87<br>Usage: Athletics<br>ID: 354","35.065323,-106.62644",,building
"Indoor Tennis Dome","1420 University Blvd. S.E.<br>ID: 311B TENNIS","35.064596,-106.629486",,building
"Information Technologies Building","2701 Campus Blvd. N.E.<br>Constructed: 1949<br>Style: Pueblo Revival<br>ID: 153 ITB","35.087082,-106.615373",,building
"Information Technologies North","802 Yale Blvd. N.E.<br>Constructed: 2004<br>ID: 255 ITN","35.089137,-106.621079",,building
"Institute For Ethics","917 Vassar Dr. N.E.<br>Constructed: 1940<br>ID: 225 ETHIC","35.090374,-106.614385",,building
"Institute For Public Policy","1805 Sigma Chi Rd. N.E.<br>Constructed: 1995<br>ID: 185","35.08789,-106.623642",,building
"Institute for Social Research","2808 Central Ave SE<br>Usage: Environmental Education, Assisted Tech<br>","35.080505,-106.614194",,building
"Integrity Building","1001 Medical Arts Ave N.E.<br>ID: 424","35.090664,-106.631898",,building
"John And June Perovich Business Center","1700 Lomas Blvd. N.E.<br>Usage: Human Resources, Speech and Hearing<br>Constructed: 2005<br>ID: 183","35.089289,-106.62461",,building
"Johnson Field","ID: JF1","35.082627,-106.616132",,building
"Johnson Gallery","203 Cornell Dr. N.E.<br>Main Entrance (East)<br>ID: 62E","35.082726,-106.620228",,building
"Jonson GalleryRWJ","1909 Las Lomas Rd. N.E.<br>Usage: Art Gallery<br>Constructed: 1949<br>Architect: John Gaw Meem<br>Style: Pueblo Revival<br>Designations: National Register of Historic Places<br>ID: 152 JONGAL","35.087111,-106.621288",,building
"Jorrin Seminar Room","1832a Mesa Vista Rd. N.E.<br>ID: 182C","35.088177,-106.622451",,building
"Kiva Lecture Hall","500 Cornell Dr. N.E.<br>Usage: Classroom<br>Constructed: 1968<br>ID: 69 KIVA","35.084798,-106.618974",,building
"KNME TV Store and Development Dept.","1200 University Blvd. N.E.<br>Usage: Public TV Offices and Store<br>Constructed: 1971<br>ID: 265","35.094596,-106.625614",,building
"KNME TV Studio","1130 University Blvd. N.E.<br>Usage: Public TV Studio<br>Constructed: 1970<br>ID: 217 KNME","35.09406,-106.624566",,building
"La Posada Dining Hall","2700 Campus Blvd. N.E.<br>ID: 77","35.085553,-106.61631",,building
"Laguna Hall Dormitory","2602 Campus Blvd. N.E.<br>Usage: Residence Hall<br>Constructed: 1969<br>ID: 74 LAGUNA","35.08571,-106.617",,building
"Landscape And Grounds Greenhouse","1008 University Blvd. N.E.<br>ID: 276","35.091333,-106.624782",,building
"Landscape Equipment Building","1713 Las Lomas Rd. N.E.<br>ID: 49","35.087074,-106.624522",,building
"Latin American Data Base And Latin American Outreach","1832-1834mesa Vista Rd. N.E.<br>Constructed: 1938<br>Style: Pueblo Revival<br>ID: 182A LADB","35.088249,-106.622168",,building
"Latin AmericanIberian Institute","801 Yale Blvd. N.E.<br>ID: 165 LAII","35.087908,-106.622252",,building
"Latin AmericanIberian Institute Garage","801 Yale Blvd. N.E.<br>Constructed: 1950<br>Style: Pueblo Revival<br>ID: 165A","35.087928,-106.622154",,building
"Lobo Lab At Student Union","301 Cornell Dr. N.E.<br>East Stairwell Entrance, go left at hallway, door on left<br>ID: 60A","35.083909,-106.620235",,building
"Lobo Tennis Club","1416 University Blvd. S.E.<br>Usage: Tennis<br>Constructed: 1981<br>ID: 311","35.065135,-106.629919",,building
"Lobo Village","Usage: Graduate student housing<br>Constructed: 2011<br>","35.06801,-106.635641",,building
"Logan Hall","2001 Redondo Dr. South N.E.<br>Usage: Psychology<br>Constructed: 1972<br>ID: 34 LOGAN","35.082304,-106.624259",,building
